Make,Type,Mass (kg),CO2 Emissions (g/km),Engine Power (kW),Fuel Consumption
AUDI,RS 6 AVANT,2150.0,287.0,463.0,12.6
TOYOTA,TOYOTA C-HR,1504.0,109.0,72.0,3.6
VOLKSWAGEN VW,CADDY,1542.0,145.0,84.0,6.4
RENAULT,ESPACE,1773.0,110.0,96.0,4.9
VOLKSWAGEN VW,TIGUAN,1750.0,168.0,142.0,6.4
SKODA,OCTAVIA RS,1533.0,133.0,147.0,5.1
SKODA,SCALA,1199.0,116.0,70.0,5.1
OPEL,CORSA,1175.0,114.0,74.0,5.1
RENAULT,AUSTRAL,1592.0,105.0,96.0,4.6
MINI,CLUBMAN COOPER S,1490.0,148.0,131.0,6.5
AUDI,RS6 AVANT,2175.0,286.0,441.0,12.6
SUZUKI,VITARA,1255.0,119.0,95.0,5.3
TOYOTA,TOYOTA GR YARIS,1375.0,215.0,206.0,9.5
HONDA,HONDA CR-V,1988.0,18.0,109.0,0.8
PEUGEOT,208,1165.0,109.0,75.0,4.2
ALFA ROMEO,ALFA ROMEO JUNIOR,1380.0,109.0,100.0,4.9
CITROEN,C3,1055.0,123.0,61.0,5.5
TOYOTA,TOYOTA YARIS CROSS,1380.0,115.0,68.0,5.1
OPEL,CORSA,1110.0,120.0,55.0,5.4
HYUNDAI,I10,999.0,122.0,49.0,5.4
VOLKSWAGEN VW,TIGUAN,1708.0,144.0,110.0,5.5
SUZUKI,SX4,1435.0,131.0,75.0,5.8
TOYOTA,TOYOTA GR YARIS,1355.0,186.0,192.0,8.2
MERCEDES-BENZ,GLC 220 D 4MATIC,2000.0,136.0,145.0,5.2
PORSCHE,CAYENNE E-HYBRID / / AUT.,2624.0,37.0,224.0,1.6
TOYOTA,YARIS,1165.0,92.0,68.0,4.1
TOYOTA,TOYOTA C-HR,1550.0,109.0,112.0,4.8
VOLKSWAGEN VW,T-ROC,1539.0,149.0,110.0,6.6
SKODA,SUPERB,1750.0,158.0,142.0,4.9
TOYOTA,TOYOTA PRIUS PHEV,1630.0,16.0,111.0,0.7
MAZDA,MAZDA MX-30,1853.0,21.0,55.0,1.0
KIA,SORENTO,1867.0,172.0,142.0,6.6
MERCEDES-BENZ,E 300 DE 4MATIC ALLTERRAIN,2454.0,139.0,145.0,6.5
FORD,PUMA,1301.0,121.0,92.0,5.4
NISSAN,NISSAN QASHQAI,1450.0,142.0,116.0,6.3
KIA,SPORTAGE,1630.0,142.0,85.0,5.4
MERCEDES-BENZ,GLB 200,1555.0,168.0,120.0,7.4
NISSAN,JUKE,1262.0,133.0,84.0,6.0
OPEL,CORSA,1110.0,120.0,55.0,5.3
OPEL,CROSSLAND,1290.0,131.0,81.0,5.8
FORD,PUMA,1318.0,122.0,92.0,5.4
RENAULT,CAPTUR,1332.0,120.0,74.0,7.4
VOLKSWAGEN VW,GOLF,1521.0,124.0,110.0,4.7
AUDI,A4 AVANT,1605.0,143.0,120.0,5.4
BMW,520I,1800.0,134.0,140.0,5.9
PEUGEOT,308,1385.0,126.0,96.0,5.6
SUZUKI,SWIFT,994.0,99.0,61.0,4.4
VOLKSWAGEN VW,TIGUAN,1768.0,176.0,147.0,6.7
VOLKSWAGEN,T-ROC,1455.0,134.0,110.0,5.1
SUZUKI,SWIFT,965.0,106.0,61.0,4.7
MAZDA,MAZDA2 HYBRID,1210.0,97.0,68.0,4.2
BMW,X1 SDRIVE18D,1650.0,132.0,110.0,5.0
KIA,PICANTO,984.0,125.0,61.0,5.5
KIA,STONIC,1225.0,121.0,73.0,5.4
HYUNDAI,KONA,1370.0,130.0,88.0,5.7
SEAT,IBIZA,1144.0,117.0,70.0,5.1
BMW,X1 SDRIVE18D,1650.0,132.0,110.0,5.1
HYUNDAI,I10,1044.0,117.0,58.0,4.6
HYUNDAI,I 20,1190.0,117.0,73.0,5.1
SKODA,SUPERB,1618.0,136.0,110.0,5.2
HYUNDAI,KONA,1485.0,106.0,77.0,4.7
MINI,COUNTRYMAN C,1620.0,135.0,115.0,6.0
FIAT,PANDA,1045.0,116.0,51.0,5.1
OPEL,CORSA,1150.0,121.0,55.0,5.4
KIA,SPORTAGE,1649.0,128.0,117.0,5.6
TOYOTA,YARIS,1216.0,85.0,68.0,5.1
HYUNDAI,KONA KAUAI,1370.0,132.0,88.0,5.8
FIAT,FIAT 500,1043.0,110.0,52.0,4.9
VOLKSWAGEN,T-ROC,1355.0,139.0,110.0,6.2
SKODA,KAMIQ,1233.0,123.0,85.0,5.5
FORD,TOURNEO COURIER,1448.0,153.0,92.0,6.7
OPEL,CORSA GS 1.2T XHL MT6 S/S 100 CV (74KW),1175.0,116.0,74.0,5.2
RENAULT,CLIO,1247.0,109.0,74.0,5.4
VOLKSWAGEN,MULTIVAN,2172.0,41.0,110.0,2.1
SKODA,OCTAVIA,1433.0,112.0,85.0,4.3
AUDI,A5 SPORTBACK,1660.0,158.0,150.0,7.0
PEUGEOT,508,1588.0,136.0,96.0,5.2
OMODA,OMODA5,1530.0,159.0,108.0,7.0
OPEL,CORSA,1175.0,114.0,74.0,5.1
TOYOTA,TOYOTA YARIS CROSS,1265.0,101.0,68.0,4.5
TOYOTA,TOYOTA YARIS CROSS,1250.0,102.0,68.0,4.5
RENAULT,CAPTUR E-TECH HYBRID,1445.0,106.0,69.0,4.7
OPEL,CROSSLAND,1312.0,144.0,96.0,6.4
FORD,KUGA,1667.0,150.0,88.0,5.7
NISSAN,NISSAN JUKE,1400.0,112.0,69.0,5.0
RENAULT,CLIO,1270.0,109.0,74.0,4.1
VOLKSWAGEN,GOLF,1415.0,116.0,110.0,4.4
SKODA,KAMIQ,1289.0,129.0,110.0,5.7
SKODA,OCTAVIA,1380.0,126.0,110.0,5.6
VOLVO,V60 CROSS COUNTRY,1924.0,159.0,145.0,6.1
MERCEDES-BENZ,GLA 180,1570.0,152.0,100.0,6.7
VOLKSWAGEN VW,UP!,991.0,116.0,48.0,5.1
CUPRA,FORMENTOR,1700.0,200.0,245.0,8.8
FIAT,600,1355.0,109.0,74.0,4.8
MINI,COUNTRYMAN COOPER,1505.0,147.0,100.0,6.5
LAND ROVER,RANGE ROVER SPORT,2735.0,17.0,294.0,0.8
OPEL,ASTRA SPORTS TOURER,1470.0,128.0,96.0,4.9
MERCEDES-BENZ,V-KLASSE,2324.0,196.0,140.0,7.5
CITROEN,C3,1108.0,124.0,61.0,5.5
MERCEDES-BENZ,GLC 200 4MATIC,1945.0,169.0,150.0,7.4
OPEL,CORSA,1110.0,120.0,55.0,5.4
DR,DR 3.0,1320.0,155.0,86.0,7.4
SKODA,KAMIQ,1233.0,124.0,85.0,5.5
AUDI,Q3,1570.0,160.0,110.0,7.1
TOYOTA,TOYOTA AYGO X,1050.0,113.0,53.0,5.0
LEXUS,RX350H,2040.0,143.0,140.0,6.3
FORD,PUMA,1326.0,122.0,92.0,5.4
KIA,SPORTAGE,1580.0,150.0,110.0,1.0
SEAT,IBIZA,1141.0,112.0,59.0,4.4
ALFA ROMEO,STELVIO,1820.0,159.0,154.0,6.1
HYUNDAI,TUCSON IX35,1650.0,134.0,118.0,5.9
MERCEDES-BENZ,A 180,1440.0,135.0,100.0,5.9
VOLKSWAGEN VW,KOMBI,1983.0,190.0,110.0,7.2
VOLKSWAGEN,POLO,1169.0,118.0,70.0,5.2
DACIA,DUSTER,1379.0,124.0,96.0,5.5
KIA,STONIC,1230.0,132.0,73.0,5.9
TOYOTA,TOYOTA COROLLA,1523.0,112.0,112.0,3.9
CUPRA,CUPRA LEON,1401.0,125.0,110.0,5.5
BMW,X3 30E XDRIVE,2140.0,23.0,140.0,1.0
PEUGEOT,3008,1464.0,144.0,96.0,6.4
TOYOTA,PROACE,2043.0,195.0,130.0,7.4
TOYOTA,TOYOTA COROLLA,1450.0,114.0,72.0,5.0
PEUGEOT,208,1108.0,120.0,55.0,5.4
VOLKSWAGEN VW,PASSAT,1763.0,150.0,142.0,5.7
MINI,COOPER,1335.0,134.0,115.0,5.9
BMW,118D,1505.0,139.0,110.0,5.3
VOLKSWAGEN,T-CROSS,1370.0,123.0,110.0,6.0
SKODA,KODIAQ,1792.0,158.0,142.0,6.0
RENAULT,MEGANE,1439.0,134.0,103.0,6.0
SKODA,KAROQ,1416.0,142.0,110.0,6.2
CITROEN,C5 AIRCROSS PURETECH 130 S&S 6V PLUS,1483.0,140.0,96.0,6.3
CITROEN,C3,1055.0,123.0,61.0,5.5
AUDI,RS 3 SPORTBACK,1645.0,206.0,294.0,9.1
DACIA,DUSTER,1351.0,127.0,74.0,6.5
SUZUKI,SWIFT,965.0,106.0,61.0,4.7
AUDI,Q5 SPORTBACK,1850.0,192.0,195.0,8.5
VOLVO,V60,2064.0,17.0,186.0,0.8
MERCEDES-BENZ,C 300 E,2105.0,12.0,150.0,0.5
TOYOTA,TOYOTA RAV4,1735.0,130.0,131.0,5.8
TOYOTA,PROACE CITY VERSO,1595.0,149.0,96.0,5.7
TOYOTA,TOYOTA GR YARIS,1375.0,215.0,206.0,9.5
VOLKSWAGEN,POLO,1169.0,119.0,70.0,5.2
RENAULT,CAPTUR,1274.0,132.0,67.0,5.9
FIAT,PANDA,1055.0,112.0,52.0,5.0
NISSAN,NISSAN QASHQAI,1685.0,118.0,116.0,5.2
MERCEDES-BENZ,GLB 200,1640.0,158.0,120.0,6.9
VOLVO,XC60,2150.0,26.0,228.0,1.1
CITROEN,C4,1353.0,133.0,96.0,5.9
VOLKSWAGEN,TIGUAN,1616.0,148.0,110.0,6.5
PEUGEOT,208,1165.0,120.0,74.0,5.3
AUDI,A3 SPORTBACK,1365.0,134.0,110.0,5.9
OPEL,MOKKA,1295.0,137.0,96.0,6.1
HYUNDAI,TUCSON,1790.0,147.0,118.0,6.0
PEUGEOT,2008,1280.0,138.0,96.0,6.1
AUDI,S3 SPORTBACK,1610.0,192.0,245.0,8.4
AUDI,A3 40 TFSIE,1625.0,30.0,110.0,1.3
BMW,X1 XDRIVE23D U11 B47,1765.0,131.0,145.0,5.0
PEUGEOT,2008,1280.0,133.0,96.0,5.9
MAZDA,MAZDA CX-30,1483.0,143.0,110.0,5.6
LAND ROVER,RANGE ROVER VELAR,2164.0,193.0,221.0,7.4
CITROEN,C3,1055.0,123.0,61.0,5.5
DACIA,DUSTER,1429.0,125.0,85.0,4.8
CITROEN,C3,1165.0,134.0,81.0,5.9
FORD,FIESTA,1224.0,119.0,69.0,5.3
PEUGEOT,208,1303.0,105.0,100.0,4.7
SKODA,OCTAVIA,1448.0,119.0,85.0,4.5
HYUNDAI,TUCSON,1631.0,146.0,110.0,5.4
RENAULT,TRAFIC,2088.0,185.0,110.0,7.0
PEUGEOT,NUEVO 208 5P ACTIVE PURETECH 100 S&S 6 VEL MAN,1165.0,116.0,74.0,5.2
SKODA,OCTAVIA,1403.0,120.0,110.0,5.3
HYUNDAI,I 20,1140.0,114.0,73.0,5.1
VOLKSWAGEN,POLO,1203.0,122.0,70.0,5.4
AUDI,A4 LIMOUSINE,1545.0,161.0,110.0,7.1
LEXUS,LEXUS NX350H,1901.0,132.0,140.0,4.8
PEUGEOT,3008,1553.0,128.0,100.0,5.7
RENAULT,CLIO,1178.0,118.0,67.0,5.2
SKODA,KAMIQ,1276.0,131.0,110.0,5.8
SKODA,OCTAVIA,1403.0,116.0,110.0,5.1
BMW,420D,1780.0,135.0,140.0,5.2
RENAULT,CAPTUR,1332.0,118.0,74.0,7.3
SKODA,OCTAVIA RS,1533.0,162.0,180.0,7.1
SKODA,SUPERB,1850.0,9.0,110.0,0.4
FORD,PUMA,1315.0,121.0,91.0,7.3
